State,'Total Sales','Operating Profit','Sales Method'
'New York',2.319568,1.667233,inStore
'New York',1.667286,1.495677,inStore
'New York',1.553137,1.390598,inStore
'New York',2.58048,1.8731,inStore
'New York',0.012574,1.238342,inStore
'New York',3.13492,4.45502,inStore
'New York',1.993427,1.409899,Outlet
'New York',1.53683,0.018516,Outlet
'New York',1.479755,1.323057,Outlet
'New York',0.012574,1.8731,Outlet
'New York',2.319568,1.238342,Outlet
'New York',3.037078,4.326353,Outlet
'New York',2.074962,1.474232,Outlet
'New York',1.53683,1.375587,Outlet
'New York',1.406373,1.255498,Outlet
'New York',0.012574,1.7187,Outlet
'New York',2.156497,1.13112,Outlet
'New York',2.971849,4.240575,Outlet
'New York',1.993427,1.409899,Outlet
'New York',1.406373,1.255498,Outlet
'New York',1.479755,1.323057,Outlet
'New York',0.012574,1.641499,Outlet
'New York',2.156497,1.13112,Outlet
'New York',2.376642,1.712266,Outlet
'New York',1.993427,1.7959,Outlet
'New York',1.830357,1.645788,Outlet
'New York',0.012574,1.7959,Outlet
'New York',3.29799,1.881678,Outlet
'New York',2.645709,1.924567,Outlet
'New York',2.074962,1.870956,Outlet
'New York',1.993427,1.7959,Outlet
'New York',2.58048,1.8731,Outlet
'New York',3.509982,0.018516,Outlet
'New York',2.735397,1.995334,Outlet
'New York',2.156497,1.946012,Outlet
'New York',1.993427,1.7959,Outlet
'New York',2.678323,1.9503,Outlet
'New York',3.721973,2.160457,Outlet
'New York',2.735397,1.995334,Outlet
'New York',2.156497,1.946012,Outlet
'New York',2.074962,1.870956,Outlet
'New York',2.58048,1.8731,Outlet
'New York',3.615977,2.090771,Outlet
'New York',2.645709,1.924567,Outlet
'New York',2.074962,1.870956,Outlet
'New York',1.993427,1.7959,Outlet
'New York',2.58048,1.8731,Outlet
'New York',3.29799,1.881678,Outlet
'New York',2.768011,2.021067,Outlet
'New York',3.624131,2.096123,Outlet
'New York',2.55602,1.8538,Outlet
'New York',2.358705,2.13215,Outlet
'New York',2.286954,2.066101,Outlet
'New York',2.768011,2.021067,Outlet
'New York',3.509982,2.021067,Outlet
'New York',2.645709,1.924567,Outlet
'New York',2.466331,2.231224,Outlet
'New York',2.286954,2.066101,Outlet
'New York',2.874007,2.104701,Outlet
'New York',3.624131,2.096123,Outlet
'New York',0.525793,0.444895,Outlet
'New York',1.112847,0.985297,Outlet
'New York',0.65625,0.564984,Outlet
'New York',0.65625,0.985297,Outlet
Texas,0.493179,0.226161,Outlet
Texas,0.65625,1.195453,Outlet
Texas,0.444258,0.369839,Outlet
Texas,0.998697,0.880219,Outlet
Texas,0.599175,0.512454,Outlet
Texas,0.485026,0.782655,Outlet
Texas,0.362723,0.123227,Outlet
Texas,0.65625,1.195453,Outlet
Texas,0.770399,0.670063,Outlet
Texas,1.341145,1.195453,Outlet
