Retailer,Region,State,City,Product,Price per Unit,Units Sold,Total Sales,Operating Profit,Operating Margin,Sales Method
Foot Locker,Northeast,New York,New York,Mens Athletic Footwear,50, ,500000,150000,0.3,inStore
Foot Locker,Northeast,New York,New York,Womens Street Footwear,40,1000,400000,140000,0.35,inStore
Foot Locker,Northeast,New York,New York,Womens Athletic Footwear,45,850,382500,133875,0.35,inStore
Foot Locker,Northeast,New York,New York,Mens Apparel,60,900,540000,162000,0.3,inStore
Foot Locker,Northeast,New York,New York,Womens Apparel, ,1000, ,125000,0.25,inStore
Foot Locker,Northeast,New York,New York,Mens Street Footwear,50,1250,625000,312500,0.5,inStore
Foot Locker,Northeast,New York,New York,Mens Athletic Footwear,50, ,450000,135000,0.3,Outlet
Foot Locker,Northeast,New York,New York,Womens Street Footwear, ,950,380000, ,0.35,Outlet
Foot Locker,Northeast,New York,New York,Womens Athletic Footwear,45,825,371250,129938,0.35,Outlet
Foot Locker,Northeast,New York,New York,Mens Apparel,60,900, ,162000,0.3,Outlet
Foot Locker,Northeast,New York,New York,Womens Apparel, ,1000,500000,125000,0.25,Outlet
Foot Locker,Northeast,New York,New York,Mens Street Footwear,50, ,610000,305000,0.5,Outlet
Foot Locker,Northeast,New York,New York,Mens Athletic Footwear, ,925,462500,138750,0.3,Outlet
Foot Locker,Northeast,New York,New York,Womens Street Footwear,40, ,380000,133000,0.35,Outlet
Foot Locker,Northeast,New York,New York,Womens Athletic Footwear,45,800,360000,126000,0.35,Outlet
Foot Locker,Northeast,New York,New York,Mens Apparel,60,850, ,153000,0.3,Outlet
Foot Locker,Northeast,New York,New York,Womens Apparel, , ,475000,118750,0.25,Outlet
Foot Locker,Northeast,New York,New York,Mens Street Footwear, ,1200,600000,300000,0.5,Outlet
Foot Locker,Northeast,New York,New York,Mens Athletic Footwear,50, ,450000,135000,0.3,Outlet
Foot Locker,Northeast,New York,New York,Womens Street Footwear,40,900,360000,126000,0.35,Outlet
Foot Locker,Northeast,New York,New York,Womens Athletic Footwear,45,825,371250,129938,0.35,Outlet
Foot Locker,Northeast,New York,New York,Mens Apparel,60,825, ,148500,0.3,Outlet
Foot Locker,Northeast,New York,New York,Womens Apparel,50,950,475000,118750,0.25,Outlet
Foot Locker,Northeast,New York,New York,Mens Street Footwear,60, ,732000,366000,0.5,Outlet
Foot Locker,Northeast,New York,New York,Mens Athletic Footwear,55, ,508750,152625,0.3,Outlet
